;correct_spelling;misspellings
830;koloni;['oloni'              , 'kloni'       , 'kooni'       , 'kolni'       , 'koloi'       , 'kolon']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
831;ur;['ru']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
832;minen;['inen'                , 'mnen'        , 'mien'        , 'minn']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
833;slips;['lips'                , 'sips'        , 'slps'        , 'slis']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
834;indtaste;['ndtaste'          , 'idtaste'     , 'intaste'     , 'indaste'     , 'indtste'     , 'indtate'     , 'indtase'     , 'indtast']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
835;større;['tørre'              , 'sørre'       , 'strre'       , 'støre'       , 'støre'       , 'størr']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
836;frisk;['risk'                , 'frsk'        , 'frik'        , 'fris']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
837;Søg;['Sgø'                   , 'øSg'         , 'øgS'         , 'gSø'         , 'gøS']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
838;sende;['snde'                , 'sede'        , 'sene']       ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
839;gul;['glu'                   , 'ugl'         , 'ulg'         , 'lgu'         , 'lug']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
840;pistol;['istol'              , 'pstol'       , 'pitol'       , 'pisol'       , 'pistl'       , 'pisto']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
841;tillade;['illade'            , 'tllade'      , 'tilade'      , 'tilade'      , 'tillde'      , 'tillae'      , 'tillad']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
842;udskriv;['dskriv'            , 'uskriv'      , 'udkriv'      , 'udsriv'      , 'udskiv'      , 'udskrv'      , 'udskri']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
843;død;['ddø'                   , 'ødd'         , 'ødd'         , 'ddø']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
844;plet;['plte'                 , 'pelt'        , 'petl'        , 'ptle'        , 'ptel'        , 'lpet'        , 'lpte'        , 'lept'        , 'letp'        , 'ltpe'        , 'ltep'        , 'eplt'        , 'eptl'         , 'elpt'   , 'eltp' , 'etpl', 'etlp', 'tple', 'tpel', 'tlpe' , 'tlep', 'tepl' , 'telp']
845;ørken;['rken'                , 'øken'        , 'øren'        , 'ørkn'        , 'ørke']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
846;kulør;['ulør'                , 'klør'        , 'kuør'        , 'kulr'        , 'kulø']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
847;strøm;['trøm'                , 'srøm'        , 'støm'        , 'strm'        , 'strø']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
848;elevator;['levator'          , 'eevator'     , 'elvator'     , 'eleator'     , 'elevtor'     , 'elevaor'     , 'elevatr'     , 'elevato']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
840;steget;['teget'              , 'seget'       , 'stget'       , 'steet'       , 'stegt'       , 'stege']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
850;ankommer;['nkommer'          , 'akommer'     , 'anommer'     , 'ankmmer'     , 'ankomer'     , 'ankomer'     , 'ankommr'     , 'ankomme']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
851;mester;['ester'              , 'mster'       , 'meter'       , 'meser'       , 'mestr'       , 'meste']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
852;spor;['spro'                 , 'sopr'        , 'sorp'        , 'srpo'        , 'srop'        , 'psor'        , 'psro'        , 'posr'        , 'pors'        , 'prso'        , 'pros'        , 'ospr'        , 'osrp'         , 'opsr'   , 'oprs' , 'orsp', 'orps', 'rspo', 'rsop', 'rpso' , 'rpos', 'rosp' , 'rops']
853;forælder;['orælder'          , 'frælder'     , 'foælder'     , 'forlder'     , 'foræder'     , 'foræler'     , 'forældr'     , 'forælde']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
854;kysten;['ysten'              , 'ksten'       , 'kyten'       , 'kysen'       , 'kystn'       , 'kyste']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
855;opdeling;['pdeling'          , 'odeling'     , 'opeling'     , 'opdling'     , 'opdeing'     , 'opdelng'     , 'opdelig'     , 'opdelin']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
856;ark;['akr'                   , 'rak'         , 'rka'         , 'kar'         , 'kra']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
857;stof;['stfo'                 , 'sotf'        , 'sfto'        , 'sfot'        , 'tsof'        , 'tsfo'        , 'tosf'        , 'tofs'        , 'tfso'        , 'tfos'        , 'ostf'        , 'osft'        , 'otsf'         , 'otfs'   , 'ofst' , 'ofts', 'fsto', 'fsot', 'ftso', 'ftos' , 'fost', 'fots'], 
858;begunstige;['egunstige'      , 'bgunstige'   , 'beunstige'   , 'begnstige'   , 'begustige'   , 'beguntige'   , 'begunsige'   , 'begunstge'   , 'begunstie'   , 'begunstig']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
859;forbinde;['orbinde'          , 'frbinde'     , 'fobinde'     , 'forinde'     , 'forbnde'     , 'forbide'     , 'forbine'     , 'forbind']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
860;indlæg;['ndlæg'              , 'idlæg'       , 'inlæg'       , 'indæg'       , 'indlg'       , 'indlæ']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
861;tilbringe;['ilbringe'        , 'tlbringe'    , 'tibringe'    , 'tilringe'    , 'tilbinge'    , 'tilbrnge'    , 'tilbrige'    , 'tilbrine'    , 'tilbring']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
862;akkord;['kkord'              , 'akord'       , 'akord'       , 'akkrd'       , 'akkod'       , 'akkor']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
863;fedt;['fetd'                 , 'fdet'        , 'fdte'        , 'fted'        , 'ftde'        , 'efdt'        , 'eftd'        , 'edft'        , 'edtf'        , 'etfd'        , 'etdf'        , 'dfet'        , 'dfte'         , 'deft'   , 'detf' , 'dtfe', 'dtef', 'tfed', 'tfde', 'tefd' , 'tedf', 'tdfe' , 'tdef']
864;glad;['glda'                 , 'gald'        , 'gadl'        , 'gdla'        , 'gdal'        , 'lgad'        , 'lgda'        , 'lagd'        , 'ladg'        , 'ldga'        , 'ldag'        , 'agld'        , 'agdl'         , 'algd'   , 'aldg' , 'adgl', 'adlg', 'dgla', 'dgal', 'dlga' , 'dlag', 'dagl' , 'dalg']
865;originale;['riginale'        , 'oiginale'    , 'orginale'    , 'oriinale'    , 'orignale'    , 'origiale'    , 'originle'    , 'originae']   ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
866;aktie;['ktie'                , 'atie'        , 'akie'        , 'akte'        , 'akti']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
867;stationen;['tationen'        , 'sationen'    , 'sttionen'    , 'staionen'    , 'statonen'    , 'statinen'    , 'statioen'    , 'stationn'    , 'statione']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
868;far;['afr'                   , 'arf'         , 'rfa'         , 'raf']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
869;brød;['brdø'                 , 'børd'        , 'bødr'        , 'bdrø'        , 'bdør'        , 'rbød'        , 'rbdø'        , 'røbd'        , 'rødb'        , 'rdbø'        , 'rdøb'        , 'øbrd'        , 'øbdr'         , 'ørbd'   , 'ørdb' , 'ødbr', 'ødrb', 'dbrø', 'dbør', 'drbø' , 'drøb', 'døbr' , 'dørb']
870;oplade;['plade'              , 'olade'       , 'opade'       , 'oplde'       , 'oplae'       , 'oplad']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
871;korrekt;['orrekt'            , 'krrekt'      , 'korekt'      , 'korekt'      , 'korrkt'      , 'korret'      , 'korrek']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
872;bar;['bra'                   , 'abr'         , 'arb'         , 'rba'         , 'rab']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
873;tilbud;['ilbud'              , 'tlbud'       , 'tibud'       , 'tilud'       , 'tilbd'       , 'tilbu']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
874;segmentet;['egmentet'        , 'sgmentet'    , 'sementet'    , 'segentet'    , 'segmntet'    , 'segmetet'    , 'segmenet'    , 'segmentt'    , 'segmente']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
875;slave;['lave'                , 'slve'        , 'slae'        , 'slav']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
876;ænder;['nder'                , 'æder'        , 'æner'        , 'ændr'        , 'ænde']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
877;øjeblikkelig;['jeblikkelig'  , 'øeblikkelig' , 'øjblikkelig' , 'øjelikkelig' , 'øjebikkelig' , 'øjeblkkelig' , 'øjeblikelig' , 'øjeblikelig' , 'øjeblikklig' , 'øjeblikkeig' , 'øjeblikkelg' , 'øjeblikkeli'],                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
878;marked;['arked'              , 'mrked'       , 'maked'       , 'mared'       , 'markd'       , 'marke']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
879;grad;['grda'                 , 'gard'        , 'gadr'        , 'gdra'        , 'gdar'        , 'rgad'        , 'rgda'        , 'ragd'        , 'radg'        , 'rdga'        , 'rdag'        , 'agrd'        , 'agdr'         , 'argd'   , 'ardg' , 'adgr', 'adrg', 'dgra', 'dgar', 'drga' , 'drag', 'dagr' , 'darg']
880;befolke;['efolke'            , 'bfolke'      , 'beolke'      , 'beflke'      , 'befoke'      , 'befole'      , 'befolk']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
881;chick;['hick'                , 'cick'        , 'chck'        , 'chik'        , 'chic']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
882;kære;['kæer'                 , 'kræe'        , 'kreæ'        , 'keær'        , 'keræ'        , 'ækre'        , 'æker'        , 'ærke'        , 'ærek'        , 'æekr'        , 'æerk'        , 'rkæe'        , 'rkeæ'         , 'ræke'   , 'ræek' , 'rekæ', 'reæk', 'ekær', 'ekræ', 'eækr' , 'eærk', 'erkæ' , 'eræk']
883;fjende;['jende'              , 'fende'       , 'fjnde'       , 'fjede'       , 'fjene'       , 'fjend']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
884;svar;['svra'                 , 'savr'        , 'sarv'        , 'srva'        , 'srav'        , 'vsar'        , 'vsra'        , 'vasr'        , 'vars'        , 'vrsa'        , 'vras'        , 'asvr'        , 'asrv'         , 'avsr'   , 'avrs' , 'arsv', 'arvs', 'rsva', 'rsav', 'rvsa' , 'rvas', 'rasv' , 'ravs']
885;drikke;['rikke'              , 'dikke'       , 'drkke'       , 'drike'       , 'drike'       , 'drikk']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
886;forekomme;['orekomme'        , 'frekomme'    , 'foekomme'    , 'forkomme'    , 'foreomme'    , 'forekmme'    , 'forekome'    , 'forekome'    , 'forekomm']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
887;støtte;['tøtte'              , 'søtte'       , 'sttte'       , 'støte'       , 'støte'       , 'støtt']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
888;tale;['tael'                 , 'tlae'        , 'tlea'        , 'teal'        , 'tela'        , 'atle'        , 'atel'        , 'alte'        , 'alet'        , 'aetl'        , 'aelt'        , 'ltae'        , 'ltea'         , 'laet'   , 'leta' , 'leat', 'etal', 'etla', 'eatl', 'ealt' , 'elta', 'elat'], 
889;natur;['atur'                , 'ntur'        , 'naur'        , 'natr'        , 'natu']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
890;rækkevidde;['ækkevidde'      , 'rkkevidde'   , 'rækevidde'   , 'rækevidde'   , 'rækkvidde'   , 'rækkeidde'   , 'rækkevdde'   , 'rækkevide'   , 'rækkevide'   , 'rækkevidd']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
891;damp;['dapm'                 , 'dmap'        , 'dmpa'        , 'dpam'        , 'dpma'        , 'admp'        , 'adpm'        , 'amdp'        , 'ampd'        , 'apdm'        , 'apmd'        , 'mdap'        , 'mdpa'         , 'madp'   , 'mapd' , 'mpda', 'mpad', 'pdam', 'pdma', 'padm' , 'pamd', 'pmda' , 'pmad']
892;bevægelse;['evægelse'        , 'bvægelse'    , 'beægelse'    , 'bevgelse'    , 'bevæelse'    , 'bevæglse'    , 'bevægese'    , 'bevægele'    , 'bevægels']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
893;sti;['tsi'                   , 'tis'         , 'ist'         , 'its']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
894;væske;['æske'                , 'vske'        , 'væke'        , 'væse'        , 'væsk']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
895;log;['lgo'                   , 'olg'         , 'ogl'         , 'glo'         , 'gol']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
896;betød;['etød'                , 'btød'        , 'beød'        , 'betd'        , 'betø']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
897;kvotient;['votient'          , 'kotient'     , 'kvtient'     , 'kvoient'     , 'kvotent'     , 'kvotint'     , 'kvotiet'     , 'kvotien']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
898;tænder;['tnder'              , 'tæder'       , 'tæner'       , 'tændr'       , 'tænde']      ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
899;skallen;['kallen'            , 'sallen'      , 'skllen'      , 'skalen'      , 'skalen'      , 'skalln'      , 'skalle']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
900;hals;['hasl'                 , 'hlas'        , 'hlsa'        , 'hsal'        , 'hsla'        , 'ahls'        , 'ahsl'        , 'alhs'        , 'alsh'        , 'ashl'        , 'aslh'        , 'lhas'        , 'lhsa'         , 'lahs'   , 'lash' , 'lsha', 'lsah', 'shal', 'shla', 'sahl' , 'salh', 'slha' , 'slah']
901;ilt;['itl'                   , 'lit'         , 'lti'         , 'tli']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
902;sukker;['ukker'              , 'skker'       , 'suker'       , 'suker'       , 'sukkr'       , 'sukke']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
903;død;['ddø'                   , 'ødd'         , 'ødd'         , 'ddø']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
904;temmelig;['emmelig'          , 'tmmelig'     , 'temelig'     , 'temelig'     , 'temmlig'     , 'temmeig'     , 'temmelg'     , 'temmeli']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
905;færdighed;['ærdighed'        , 'frdighed'    , 'fædighed'    , 'færighed'    , 'færdghed'    , 'færdihed'    , 'færdiged'    , 'færdighd'    , 'færdighe']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
906;kvinder;['vinder'            , 'kinder'      , 'kvnder'      , 'kvider'      , 'kviner'      , 'kvindr']     ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
907;årstid;['rstid'              , 'åstid'       , 'årtid'       , 'årsid'       , 'årstd'       , 'årsti']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
908;opløsning;['pløsning'        , 'oløsning'    , 'opøsning'    , 'oplsning'    , 'opløning'    , 'opløsing'    , 'opløsnng'    , 'opløsnig'    , 'opløsnin']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
909;magneten;['agneten'          , 'mgneten'     , 'maneten'     , 'mageten'     , 'magnten'     , 'magneen'     , 'magnetn'     , 'magnete']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
910;sølv;['søvl'                 , 'sløv'        , 'slvø'        , 'svøl'        , 'svlø'        , 'øslv'        , 'øsvl'        , 'ølsv'        , 'ølvs'        , 'øvsl'        , 'øvls'        , 'lsøv'        , 'lsvø'         , 'løsv'   , 'løvs' , 'lvsø', 'lvøs', 'vsøl', 'vslø', 'vøsl' , 'vøls', 'vlsø' , 'vløs']
911;tak;['tka'                   , 'atk'         , 'akt'         , 'kta']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
912;gren;['grne'                 , 'gern'        , 'genr'        , 'gnre'        , 'gner'        , 'rgen'        , 'rgne'        , 'reng'        , 'rnge'        , 'rneg'        , 'egrn'        , 'egnr'        , 'ergn'         , 'erng'   , 'engr' , 'enrg', 'ngre', 'nger', 'nrge', 'nreg' , 'negr', 'nerg'], 
913;kamp;['kapm'                 , 'kmap'        , 'kmpa'        , 'kpam'        , 'kpma'        , 'akmp'        , 'akpm'        , 'amkp'        , 'ampk'        , 'apkm'        , 'apmk'        , 'mkap'        , 'mkpa'         , 'makp'   , 'mapk' , 'mpka', 'mpak', 'pkam', 'pkma', 'pakm' , 'pamk', 'pmka' , 'pmak']
914;endelse;['ndelse'            , 'edelse'      , 'enelse'      , 'endlse'      , 'endese'      , 'endele'      , 'endels']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
915;især;['isræ'                 , 'iæsr'        , 'iærs'        , 'irsæ'        , 'iræs'        , 'siær'        , 'siræ'        , 'sæir'        , 'særi'        , 'sriæ'        , 'sræi'        , 'æisr'        , 'æirs'         , 'æsir'   , 'æsri' , 'æris', 'ærsi', 'risæ', 'riæs', 'rsiæ' , 'rsæi', 'ræis' , 'ræsi']
916;figen;['fgen'                , 'fien'        , 'fign'        , 'fige']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
917;bange;['ange'                , 'bnge'        , 'bage'        , 'bane'        , 'bang']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
918;enorm;['norm'                , 'eorm'        , 'enrm'        , 'enom'        , 'enor']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
919;søster;['øster'              , 'sster'       , 'søter'       , 'søser'       , 'søstr'       , 'søste']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
920;stål;['stlå'                 , 'såtl'        , 'sålt'        , 'sltå'        , 'slåt'        , 'tsål'        , 'tslå'        , 'tåsl'        , 'tåls'        , 'tlså'        , 'tlås'        , 'åstl'        , 'åslt'         , 'åtsl'   , 'åtls' , 'ålst', 'ålts', 'lstå', 'lsåt', 'ltså' , 'ltås', 'låst' , 'låts']
921;diskutere;['iskutere'        , 'dskutere'    , 'dikutere'    , 'disutere'    , 'disktere'    , 'diskuere'    , 'diskutre'    , 'diskutee'    , 'diskuter']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
922;fremad;['remad'              , 'femad'       , 'frmad'       , 'fread'       , 'fremd'       , 'frema']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
923;lignende;['ignende'          , 'lgnende'     , 'linende'     , 'ligende'     , 'lignnde'     , 'lignede'     , 'lignene'     , 'lignend']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
924;guide;['uide'                , 'gide'        , 'gude'        , 'guie'        , 'guid']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
925;erfaring;['rfaring'          , 'efaring'     , 'eraring'     , 'erfring'     , 'erfaing'     , 'erfarng'     , 'erfarig'     , 'erfarin']    ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
926;Baseret;['aseret'            , 'Bseret'      , 'Baeret'      , 'Basret'      , 'Baseet'      , 'Basert'      , 'Basere']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
927;æble;['æbel'                 , 'ælbe'        , 'æleb'        , 'æebl'        , 'æelb'        , 'bæle'        , 'bæel'        , 'blæe'        , 'bleæ'        , 'beæl'        , 'belæ'        , 'læbe'        , 'læeb'         , 'lbæe'   , 'lbeæ' , 'leæb', 'lebæ', 'eæbl', 'eælb', 'ebæl' , 'eblæ', 'elæb' , 'elbæ']
928;købte;['øbte'                , 'kbte'        , 'køte'        , 'købt']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
929;ledede;['edede'              , 'ldede'       , 'leede'       , 'ledde'       , 'ledee'       , 'leded']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
930;tonehøjde;['onehøjde'        , 'tnehøjde'    , 'toehøjde'    , 'tonhøjde'    , 'toneøjde'    , 'tonehjde'    , 'tonehøde'    , 'tonehøje'    , 'tonehøjd']   ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
931;frakke;['rakke'              , 'fakke'       , 'frkke'       , 'frake'       , 'frake'       , 'frakk']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
932;masse;['asse'                , 'msse'        , 'mase'        , 'mase']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
933;kort;['kotr'                 , 'krot'        , 'krto'        , 'ktor'        , 'ktro'        , 'okrt'        , 'oktr'        , 'orkt'        , 'ortk'        , 'otkr'        , 'otrk'        , 'rkot'        , 'rkto'         , 'rokt'   , 'rotk' , 'rtko', 'rtok', 'tkor', 'tkro', 'tokr' , 'tork', 'trko' , 'trok']
934;bånd;['bådn'                 , 'bnåd'        , 'bndå'        , 'bdån'        , 'bdnå'        , 'åbnd'        , 'åbdn'        , 'ånbd'        , 'åndb'        , 'ådbn'        , 'ådnb'        , 'nbåd'        , 'nbdå'         , 'nåbd'   , 'nådb' , 'ndbå', 'ndåb', 'dbån', 'dbnå', 'dåbn' , 'dånb', 'dnbå' , 'dnåb']
935;reb;['rbe'                   , 'erb'         , 'ebr'         , 'bre'         , 'ber']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
936;slip;['slpi'                 , 'silp'        , 'sipl'        , 'spli'        , 'lsip'        , 'lspi'        , 'lisp'        , 'lips'        , 'lpsi'        , 'lpis'        , 'islp'        , 'ispl'        , 'ilsp'         , 'ilps'   , 'ipsl' , 'ipls', 'psli', 'psil', 'plsi', 'plis' , 'pisl', 'pils'], 
937;sejr;['serj'                 , 'sjer'        , 'sjre'        , 'srej'        , 'srje'        , 'esjr'        , 'esrj'        , 'ejsr'        , 'ejrs'        , 'ersj'        , 'erjs'        , 'jser'        , 'jsre'         , 'jesr'   , 'jers' , 'jrse', 'jres', 'rsej', 'rsje', 'resj' , 'rejs', 'rjse' , 'rjes']
938;drømme;['rømme'              , 'dømme'       , 'drmme'       , 'drøme'       , 'drøme'       , 'drømm']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
939;aften;['ften'                , 'aten'        , 'afen'        , 'aftn'        , 'afte']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
940;betingelse;['etingelse'      , 'btingelse'   , 'beingelse'   , 'betngelse'   , 'betigelse'   , 'betinelse'   , 'betinglse'   , 'betingese'   , 'betingele'   , 'betingels']  ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
941;foder;['oder'                , 'fder'        , 'foer'        , 'fodr'        , 'fode']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
942;værktøj;['ærktøj'            , 'vrktøj'      , 'væktøj'      , 'værtøj'      , 'værkøj'      , 'værktj'      , 'værktø']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
943;samlede;['amlede'            , 'smlede'      , 'salede'      , 'samede'      , 'samlde'      , 'samlee'      , 'samled']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
944;grundlæggende;['rundlæggende', 'gundlæggende', 'grndlæggende', 'grudlæggende', 'grunlæggende', 'grundæggende', 'grundlggende', 'grundlægende', 'grundlægende', 'grundlæggnde', 'grundlæggede', 'grundlæggene', 'grundlæggend'],          ,        ,       ,       ,       ,       ,        ,       ,        , 
945;lugt;['lutg'                 , 'lgut'        , 'lgtu'        , 'ltug'        , 'ltgu'        , 'ulgt'        , 'ultg'        , 'uglt'        , 'ugtl'        , 'utlg'        , 'utgl'        , 'glut'        , 'gltu'         , 'gult'   , 'gutl' , 'gtlu', 'gtul', 'tlug', 'tlgu', 'tulg' , 'tugl', 'tglu' , 'tgul']
946;dal;['dla'                   , 'adl'         , 'ald'         , 'lda']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
